Site Name,Sample Collection Date,Concentration,7dra_centered
Brightwater,01/20/2024,1103870971,1194167217.0
Brightwater,01/21/2024,1067546928,1224127274.7142856
Brightwater,01/22/2024,1241914124,1260173936.5714285
Brightwater,01/23/2024,1416281321,1302307202.4285715
Brightwater,01/24/2024,1422563506,1350527072.5714285
Brightwater,01/25/2024,1428845691,1404833546.7142856
Brightwater,01/26/2024,1435127876,1393034408.2857144
Brightwater,01/27/2024,1441410062,1315129657.142857
Brightwater,01/28/2024,1447692247,1220654478.5714285
Brightwater,01/29/2024,1159320155,1109608872.5714285
Brightwater,01/30/2024,870948063,981992839.2857143
Brightwater,01/31/2024,761237256,837806378.4285715
Brightwater,02/01/2024,651526449,677049490.1428572
Brightwater,02/02/2024,541815643,566706811.1428572
Brightwater,02/03/2024,432104836,506778341.5714286
Brightwater,02/04/2024,322394029,487529308.4285714
Brightwater,02/05/2024,386921402,508959711.71428573
Brightwater,02/06/2024,451448776,571069551.2857143
Brightwater,02/07/2024,626494024,673858827.2857143
Brightwater,02/08/2024,801539272,817327539.7142857
Brightwater,02/09/2024,976584520,951664798.8571428
Brightwater,02/10/2024,1151629768,1076870604.7142856
Brightwater,02/11/2024,1326675016,1170454528.2857144
Brightwater,02/12/2024,1327282216,1232416569.7142856
Brightwater,02/13/2024,1327889417,1262756728.857143
Brightwater,02/14/2024,1281581489,1261475005.857143
Brightwater,02/15/2024,1235273562,1228571400.5714285
Brightwater,02/16/2024,1188965634,1210100312.857143
Brightwater,02/17/2024,1142657707,1208269120.2857144
Brightwater,02/18/2024,1096349779,1224372130.2857144
Brightwater,02/19/2024,1197984602,1258409342.857143
Brightwater,02/20/2024,1315071069,1310380758.0
Brightwater,02/21/2024,1394302559,1380286375.7142856
Brightwater,02/22/2024,1473534050,1468126196.142857
Brightwater,02/23/2024,1552765540,1522378013.2857144
Brightwater,02/24/2024,1631997031,1545694542.4285715
Brightwater,02/25/2024,1711228522,1543483637.5714285
Brightwater,02/26/2024,1577747322,1515745298.4285715
Brightwater,02/27/2024,1478286773,1462479525.2857144
Brightwater,02/28/2024,1378826225,1383686317.857143
Brightwater,02/29/2024,1279365676,1279365676.2857144
Brightwater,03/01/2024,1179905128,1194348733.7142856
Brightwater,03/02/2024,1080444579,1116707926.2857144
Brightwater,03/03/2024,980984031,1036054146.8571428
Brightwater,03/04/2024,982628724,952387395.5714285
Brightwater,03/05/2024,934801121,865707672.2857143
Brightwater,03/06/2024,814249769,776014977.1428572
Brightwater,03/07/2024,693698417,683309310.0
Brightwater,03/08/2024,573147065,580369970.8571428
Brightwater,03/09/2024,452595713,475310764.0
Brightwater,03/10/2024,332044361,388519512.28571427
Brightwater,03/11/2024,262053350,319996215.85714287
Brightwater,03/13/2024,199386673,269740874.5714286
Brightwater,03/14/2024,206711007,237753488.57142857
Brightwater,03/15/2024,214035342,232345495.57142857
Brightwater,03/16/2024,221359676,246293989.85714287
Brightwater,03/17/2024,228684011,291683277.85714287
Brightwater,03/18/2024,294188410,358514643.71428573
Brightwater,03/19/2024,359692810,446788087.28571427
Brightwater,03/20/2024,517111689,556503608.7142857
Brightwater,03/21/2024,674530568,687661207.8571428
Brightwater,03/22/2024,831949447,806851733.4285715
Brightwater,03/23/2024,989368326,914075185.1428572
Brightwater,03/24/2024,1146787205,978418474.0
Brightwater,03/25/2024,1128522089,999881599.8571428
Brightwater,03/26/2024,1110256972,978464562.7142857
Brightwater,03/27/2024,967514711,914167362.5714285
Brightwater,03/28/2024,824772449,806989999.4285715
Brightwater,03/29/2024,682030187,694090191.7142857
Brightwater,03/30/2024,539287925,575467939.5714285
Brightwater,03/31/2024,396545663,478709730.71428573
Brightwater,04/01/2024,338223435,403815565.28571427
Brightwater,04/02/2024,279901207,350785443.28571427
Brightwater,04/03/2024,290207249,319619364.5714286
Brightwater,04/04/2024,300513291,310317329.28571427
Brightwater,04/05/2024,310819333,312417888.5714286
Brightwater,04/06/2024,321125374,325921042.4285714
Brightwater,04/07/2024,331431416,337514997.14285713
Brightwater,04/08/2024,352927350,347199752.5714286
Brightwater,04/09/2024,374423284,354975308.85714287
Brightwater,04/10/2024,371364932,360841666.0
Brightwater,04/11/2024,368306579,364798824.0
Brightwater,04/12/2024,365248227,362712639.85714287
Brightwater,04/13/2024,362189874,354583113.5714286
Brightwater,04/14/2024,359131522,352302809.28571427
Brightwater,04/15/2024,338324061,355871727.14285713
Brightwater,04/16/2024,317516600,365289867.0
Brightwater,04/17/2024,355402802,380557229.14285713
Brightwater,04/18/2024,393289004,401673813.28571427
Brightwater,04/19/2024,431175206,426536459.28571427
Brightwater,04/20/2024,469061409,455145167.28571427
Brightwater,04/21/2024,506947611,471905589.14285713
Brightwater,04/22/2024,512362583,476817724.85714287
Brightwater,04/23/2024,517777556,469881574.4285714
Brightwater,04/24/2024,472725755,451097137.71428573
Brightwater,04/25/2024,427673954,420464414.85714287
Brightwater,04/26/2024,382622153,395933575.71428573
Brightwater,04/27/2024,337570352,377504620.14285713
Brightwater,04/28/2024,292518551,370280477.0
Brightwater,04/29/2024,340646709,374261146.4285714
Brightwater,04/30/2024,388774867,389446628.28571427
Brightwater,05/01/2024,422156753,415836922.5714286
Brightwater,05/02/2024,455538640,453432029.28571427
Brightwater,05/03/2024,488920526,487000013.5714286
Brightwater,05/04/2024,522302412,516540875.4285714
Brightwater,05/05/2024,555684298,541895631.2857143
Brightwater,05/06/2024,575622599,563064281.0
Brightwater,05/07/2024,595560900,580046824.7142857
Brightwater,05/08/2024,599640044,592843262.4285715
Brightwater,05/09/2024,603719188,601453594.1428572
Brightwater,05/10/2024,607798332,604537360.7142857
Brightwater,05/11/2024,611877476,602094562.1428572
Brightwater,05/12/2024,615956620,622193076.8571428
Brightwater,05/13/2024,597208965,664832904.8571428
Brightwater,05/14/2024,578461310,730014046.2857143
Brightwater,05/15/2024,740329647,817736501.0
Brightwater,05/16/2024,902197984,928000269.0
Brightwater,05/17/2024,1064066322,1041632523.4285715
Brightwater,05/18/2024,1225934659,1158633264.142857
Brightwater,05/19/2024,1387802996,1253202323.142857
Brightwater,05/20/2024,1392634746,1325339700.5714285
Brightwater,05/21/2024,1397466495,1375045396.142857
Brightwater,05/22/2024,1402313060,1402319410.142857
